,id,name,type,latitude,longitude,tarif,durasi,rating,dbscan_cluster_relaxed1500,is_outlier
0,1,MALIOBORO JOGJAKARTA,location,-7.7925764,110.365843,0,5400,4.8,0,False
1,2,Tourism Zone Malioboro,location,-7.7982487,110.3652793,0,3600,4.7,0,False
2,3,Plengkung Gading,location,-7.8137278,110.3629074,0,1800,4.6,0,False
3,4,Bringin Kembar Yogyakarta,location,-7.8119357,110.363194,0,5400,4.6,0,False
4,5,Rumah Hantu Malioboro,location,-7.7956378,110.3653538,35000,2700,4.5,0,False
5,6,Fort Vredeburg Museum,location,-7.800293,110.3661642,3000,7200,4.6,0,False
6,7,Titik Nol Km Yogyakarta,location,-7.8013966,110.3647641,0,3600,4.8,0,False
7,8,Museum Sonobudoyo Unit I,location,-7.8022995,110.3643835,3000,7200,4.7,0,False
8,9,Tarunasura Wijilan Gate,location,-7.8038148,110.3666102,0,1800,4.7,0,False
9,10,Yogyakarta Northern Square,location,-7.8038975,110.3644232,0,3600,4.6,0,False
10,11,Pasar Ngasem,location,-7.8082845,110.3602155,0,2700,4.5,0,False
11,12,Museum Sandi,location,-7.7845549,110.3711548,3000,5400,4.7,0,False
12,13,Tugu,location,-7.7829218,110.3670757,0,3600,4.8,0,False
13,14,Desa Wisata Gerabah Kasongan Yogyakarta,location,-7.8455358,110.3379568,0,1800,4.5,0,False
14,15,Pojok Benteng Wetan,location,-7.8146508,110.3684854,0,1800,4.5,0,False
15,16,Situs Gua Seluman,location,-7.802813,110.413899,0,3600,4.4,0,False
16,17,Pojok Benteng Kulon,location,-7.8128408,110.356113,0,2700,4.5,0,False
17,18,Pakualaman Palace,location,-7.7997354,110.3762182,0,3600,4.5,0,False
18,19,Museum Perjuangan,location,-7.8164905,110.3718611,10000,5400,4.5,0,False
19,20,Omah UGM Kotagede Yogyakarta,location,-7.8293112,110.3956256,10000,5400,4.7,0,False
20,21,Pasar Kotagede,location,-7.8283312,110.3997949,0,900,4.6,0,False
21,22,Bentara Budaya Yogyakarta (BBY),location,-7.7857242,110.3746954,0,5400,4.5,0,False
