id,id_a,id_b,durasi
1,1,1,0
2,1,2,134
3,1,3,605
4,1,4,595
5,1,5,79
6,1,6,228
7,1,7,222
8,1,8,256
9,1,9,327
10,1,10,320
11,1,11,455
12,1,12,273
13,1,13,374
14,1,14,1318
15,1,15,531
16,1,16,1180
17,1,17,629
18,1,18,484
19,1,19,647
20,1,20,1212
21,1,21,1200
22,1,22,330
23,1,23,903
24,1,24,1562
25,1,25,1238
26,1,26,1511
27,1,27,3262
28,1,28,486
29,1,29,3450
30,1,30,1530
31,1,31,2940
32,1,32,187
33,1,33,551
34,1,34,2616
35,1,35,690
36,1,36,292
37,1,37,3510
38,1,38,3348
39,1,39,3581
40,1,40,976
41,1,41,3290
42,1,42,2605
43,1,43,3107
44,1,44,1189
45,1,45,3109
46,1,46,198
47,1,47,1209
48,1,48,1081
49,1,49,1770
50,1,50,333
51,1,51,3051
52,1,52,976
53,1,53,77
54,1,54,2401
55,1,55,2250
56,1,56,1776
57,1,57,976
58,1,58,8031
59,1,59,2316
60,1,60,334
61,1,61,590
62,1,62,4210
63,1,63,312
64,1,64,4492
65,1,65,6247
66,1,66,1020
67,1,67,865
68,1,68,572
69,1,69,357
70,1,70,284
71,1,71,2977
72,1,72,998
73,1,73,1277
74,1,74,1222
75,1,75,1970
76,1,76,556
77,1,77,226
78,1,78,673
79,1,79,2826
80,1,80,840
81,1,81,233
82,1,82,558
83,1,83,1117
84,1,84,2135
85,1,85,814
86,1,86,505
87,1,87,617
88,1,88,777
89,1,89,502
90,1,90,550
91,1,91,813
92,1,92,1326
93,1,93,2776
94,1,94,1973
95,1,95,1090
96,1,96,587
97,1,97,1422
98,1,98,708
99,1,99,814
100,2,1,499
101,2,2,0
102,2,3,471
103,2,4,461
104,2,5,463
105,2,6,95
106,2,7,88
107,2,8,122
108,2,9,193
109,2,10,187
110,2,11,321
111,2,12,504
112,2,13,605
113,2,14,1184
114,2,15,397
115,2,16,1185
116,2,17,495
117,2,18,408
118,2,19,513
119,2,20,1115
120,2,21,1103
121,2,22,561
122,2,23,770
123,2,24,1462
124,2,25,1243
125,2,26,1423
126,2,27,3128
127,2,28,703
128,2,29,3682
129,2,30,1442
130,2,31,3166
131,2,32,53
132,2,33,731
133,2,34,2677
134,2,35,556
135,2,36,159
136,2,37,3741
137,2,38,3579
138,2,39,3447
139,2,40,1037
140,2,41,3515
141,2,42,2610
142,2,43,2973
143,2,44,1091
144,2,45,2975
145,2,46,241
146,2,47,1214
147,2,48,948
148,2,49,1776
149,2,50,199
150,2,51,3282
151,2,52,842
152,2,53,460
153,2,54,2406
154,2,55,2468
155,2,56,1836
156,2,57,1037
157,2,58,8036
158,2,59,2321
159,2,60,200
160,2,61,456
161,2,62,4271
162,2,63,178
163,2,64,4553
164,2,65,6113
165,2,66,1081
166,2,67,780
167,2,68,438
168,2,69,223
169,2,70,150
170,2,71,2843
171,2,72,1003
172,2,73,1180
173,2,74,1135
174,2,75,2187
175,2,76,710
176,2,77,93
177,2,78,890
178,2,79,2692
179,2,80,901
180,2,81,100
181,2,82,456
182,2,83,1177
183,2,84,2352
184,2,85,728
185,2,86,371
186,2,87,626
187,2,88,643
188,2,89,368
189,2,90,416
190,2,91,1003
191,2,92,1192
192,2,93,2642
193,2,94,1873
194,2,95,992
195,2,96,453
196,2,97,1288
197,2,98,574
198,2,99,736
199,3,1,737
200,3,2,756
201,3,3,0
202,3,4,40
203,3,5,702
204,3,6,698
205,3,7,451
206,3,8,414
207,3,9,365
208,3,10,453
209,3,11,272
